,country,province,region_1,region_2,winery
586,Austria,Steiermark,,,Strauss
588,US,California,North Coast,,Trinity River
589,Austria,Burgenland,,,Umathum
590,US,California,Paso Robles,Central Coast,Vintage Cowboy
592,US,Washington,Walla Walla Valley (WA),Columbia Valley,Kontos
593,Austria,Niederösterreich,,,Landhaus Mayer
594,France,Rhône Valley,,,Lavau
595,US,Washington,Columbia Valley (WA),Columbia Valley,L'Ecole No. 41
596,Greece,Crete,,,Lyrarakis
598,US,California,Paso Robles,Central Coast,Midnight
600,Italy,Piedmont,Gavi,,Michele Chiarlo
601,Mexico,Valle de Guadalupe,,,Monte Xanic
602,US,California,Oak Knoll District,Napa,Paoletti
603,US,New York,North Fork of Long Island,Long Island,Peconic Bay Winery
604,Spain,Northern Spain,Navarra,,Príncipe de Viana
605,Argentina,Mendoza Province,Mendoza,,Proemio
606,US,Oregon,Rogue Valley,Southern Oregon,Quady North
608,Portugal,Douro,,,Quinta do Portal
609,US,Oregon,Chehalem Mountains,Willamette Valley,Raptor Ridge
610,US,California,Northern Sonoma,Sonoma,Rodney Strong
611,US,California,Carneros,Napa-Sonoma,Saintsbury
612,US,California,Paso Robles,Central Coast,Sextant
613,Portugal,Vinho Verde,,,Solar de Pinheiro
614,Italy,Veneto,Soave Classico,,Suavia
615,Argentina,Mendoza Province,Mendoza,,Tilia
616,US,California,Russian River Valley,Sonoma,B Cellars
617,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Bacio della Luna
618,US,California,Calistoga,Napa,Barlow
619,Italy,Piedmont,Piedmont,,Borgo Maragliano
620,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Bortolotti
622,US,Idaho,,,Coiled
624,US,Idaho,Idaho,,Colter's Creek
625,Italy,Veneto,Soave,,Corte Falco
626,Italy,Veneto,Gambellara Classico,,Domenico Cavazza
628,Australia,South Australia,McLaren Vale,,Kangarilla Road
629,US,California,Russian River Valley,Sonoma,Walt
630,US,Oregon,Willamette Valley,,WillaKenzie Estate
631,France,Alsace,Alsace,,Willm
632,France,Alsace,Alsace,,Jean-Marc Bernhard
633,Australia,Victoria,Yarra Valley,,Yeringberg
634,US,California,Dry Creek Valley,Sonoma,Armida
635,Spain,Northern Spain,Rioja,,Marqués de Murrieta
637,France,Alsace,Alsace,,Biecher & Schaal
638,France,Alsace,Alsace,,Domaines Schlumberger
640,US,California,Santa Maria Valley,Central Coast,Foxen
642,Portugal,Alentejano,,,Luis Duarte
643,US,California,Sonoma Coast,Sonoma,Melhill
644,US,California,Paso Robles,Central Coast,Niner
645,US,Oregon,Willamette Valley,Willamette Valley,Purple Hands
646,Portugal,Tejo,,,Quinta da Lagoalva de Cima
647,Portugal,Douro,,,Quinta do Monte Xisto
648,Germany,Mosel,,,Reichsgraf von Kesselstatt
649,US,California,Napa Valley,Napa,Stone The Crows
650,Italy,Northeastern Italy,Collio,,Sturm
652,Australia,Western Australia,Great Southern,,Plantagenet
653,US,California,Arroyo Seco,Central Coast,Scratch
654,France,Alsace,Alsace,,Sipp Mack
655,US,California,Mokelumne River,Central Valley,St. Amant
656,US,Oregon,Dundee Hills,Willamette Valley,Stoller
657,South Africa,Coastal Region,,,Fable Mountain
658,US,California,Los Carneros,Napa-Sonoma,Vine Cliff
659,US,Washington,Walla Walla Valley (WA),Columbia Valley,Va Piano
660,US,California,Mount Veeder,Napa,Y Rousseau
661,US,California,Mendocino,,Monte Volpe
662,Italy,Piedmont,Barolo,,Palladino
663,US,California,Rockpile,Sonoma,Paradise Ridge
664,Italy,Piedmont,Dogliani Superiore,,Pecchenino
666,US,Washington,Columbia Valley (WA),Columbia Valley,Poet's Leap
667,Spain,Levante,Valencia,,Rafael Cambra
668,US,New York,North Fork of Long Island,Long Island,Raphael
669,US,Washington,Walla Walla Valley (WA),Columbia Valley,Seven Hills
670,US,Washington,Columbia Valley (WA),Columbia Valley,Snoqualmie
671,US,California,Napa Valley,Napa,Stags' Leap Winery
672,US,New York,Long Island,Long Island,The Grapes of Roth
673,US,California,Anderson Valley,,The Withers Winery
674,US,California,Carneros,Napa-Sonoma,Truchard
675,US,California,Carneros,Napa-Sonoma,Acacia
676,US,Washington,Yakima Valley,Columbia Valley,Array
677,Italy,Tuscany,Cortona,,Baracchi Riccardo
679,US,Washington,Columbia Valley (WA),Columbia Valley,Barrister
680,Spain,Northern Spain,Rioja,,Bodegas Berceo
681,US,Washington,Columbia Valley (WA),Columbia Valley,Bunnell
682,Italy,Piedmont,Piemonte,,Castello di Neive
683,Italy,Tuscany,Colli della Toscana Centrale,,Castello di Querceto
684,US,Washington,Horse Heaven Hills,Columbia Valley,Chateau Ste. Michelle
685,US,California,Sonoma Coast,Sonoma,Cobb
686,Italy,Piedmont,Barolo,,Comm. G. B. Burlotto
687,US,California,Santa Cruz Mountains,Central Coast,Cooper-Garrod
688,US,Washington,Red Mountain,Columbia Valley,Mosquito Fleet
689,US,California,Santa Barbara County,Central Coast,Nadia
690,Austria,Burgenland,,,Nittnaus Hans und Christine
691,US,California,Livermore Valley,Central Coast,Nottingham Cellars
692,Italy,Tuscany,Morellino di Scansano,,Poggio Argentiera
693,US,California,Sonoma County,Sonoma,Pride Mountain
694,South Africa,Stellenbosch,,,Reyneke
695,Italy,Tuscany,Chianti Classico,,Ruffino
696,New Zealand,Marlborough,,,Saint Clair
697,Austria,Wagram,,,Soellner
698,US,Washington,Columbia Valley (WA),Columbia Valley,Woodinville Wine Cellars
699,South Africa,Simonsberg-Stellenbosch,,,Kanonkop
700,Argentina,Mendoza Province,Mendoza,,El Enemigo
701,France,Provence,Côtes de Provence,,Château d'Esclans
702,France,Provence,Côtes de Provence,,Château Riotor
703,France,Provence,Côtes de Provence,,Château Sainte Marguerite
705,New Zealand,Marlborough,,,Cloudy Bay
706,France,Provence,Côtes de Provence,,Domaine de la Bastide Blanche
708,France,Provence,Côtes de Provence,,Domaine Sainte-Marie
709,US,California,Dry Creek Valley,Sonoma,Dry Creek Vineyard
710,New Zealand,Martinborough,,,Dry River
711,US,California,Russian River Valley,Sonoma,Dutton Estate
712,US,California,Russian River Valley,Sonoma,Failla
713,US,California,Russian River Valley,Sonoma,Friedeman
714,New Zealand,Central Otago,,,Akarua
715,Argentina,Mendoza Province,Valle de Uco,,Benvenuto de la Serna
716,New Zealand,Central Otago,,,Carrick
717,France,Provence,Côtes de Provence,,JCB
718,Portugal,Lisboa,,,Casca Wines
719,France,Burgundy,Mâcon-Villages,,Cave de Viré
720,Portugal,Alentejano,,,Cortes de Cima
721,Argentina,Mendoza Province,Tupungato,,Domaine Bousquet
723,Portugal,Vinho Verde,,,Messias
724,US,Texas,Texas,,Mont Sec
725,Italy,Piedmont,Barolo,,Paolo Manzone
726,Portugal,Vinho Verde,,,Quinta de Paços
727,US,Oregon,Oregon,Oregon Other,Rascal
728,Argentina,Other,Salta,,Terrazas de Los Andes
730,US,California,California,California Other,Jack's House
731,France,France Other,Vin de France,,Kiwi Cuvée
732,France,Burgundy,Côte Chalonnaise,,Domaine Michel Goubard
733,France,Burgundy,Chorey-lès-Beaune,,Domaine Poulleau Père et Fils
734,Argentina,Mendoza Province,Mendoza,,Durigutti
735,Argentina,Other,Calchaquí Valley,,El Esteco
736,US,California,Paso Robles,Central Coast,Felten Cellars
737,Portugal,Península de Setúbal,,,Wines & Winemakers
738,Argentina,Mendoza Province,Luján de Cuyo,,Lagarde
739,Italy,Piedmont,Barolo,,Marchesi di Barolo
740,US,Texas,Texas,,McPherson
741,France,Burgundy,Coteaux Bourguignons,,Patriarche Père et Fils
742,France,Burgundy,Saint-Véran,,Paul Reitz
743,US,California,Dry Creek Valley,Sonoma,Pech Merle
744,Italy,Piedmont,Barbaresco,,Punset
745,Portugal,Alentejo,,,Ribafreixo
746,Australia,Australia Other,South Eastern Australia,,Jacob's Creek
747,US,California,Sonoma Coast,Sonoma,William Knuttel
748,US,New York,Finger Lakes,Finger Lakes,Casa Larga
749,France,Alsace,Alsace,,Cave de Beblenheim
750,US,California,Sonoma Coast,Sonoma,De Loach
752,France,Alsace,Alsace,,Dopff Au Moulin
753,US,California,Edna Valley,Central Coast,Center of Effort
755,US,California,Anderson Valley,,Handley
756,US,California,Napa Valley,Napa,Kuleto Estate
757,US,California,Santa Maria Valley,Central Coast,Lane Tanner
758,US,California,Sonoma Coast,Sonoma,MacRostie
759,US,California,Temecula Valley,South Coast,Monte De Oro
761,Chile,Colchagua Valley,,,Ninquén
762,Spain,Northern Spain,Rueda,,Oro de Castilla
763,Spain,Northern Spain,Rueda,,Pablo del Villar
764,US,California,North Coast,North Coast,Pax
765,US,California,Napa Valley,Napa,Robert Foley
766,Australia,Tasmania,Tasmania,,42°S
767,Spain,Northern Spain,Cariñena,,Manyana
768,Australia,Australia Other,South Eastern Australia,,McWilliam's Hanwood Estate
769,Italy,Southern Italy,Aglianico del Vulture,,Paternoster
770,France,Champagne,Champagne,,G. H. Mumm
772,France,Champagne,Champagne,,Jean Milan
773,Portugal,Alentejo,,,Monte da Penha
774,US,Oregon,Willamette Valley,Willamette Valley,Patton Valley
776,France,Champagne,Champagne,,Pierre Gimonnet et Fils
777,Italy,Northeastern Italy,Colli Orientali del Friuli,,Scubla
778,US,Oregon,Dundee Hills,Willamette Valley,Adelsheim
779,France,Champagne,Champagne,,Bruno Paillard
780,Italy,Tuscany,Vin Santo del Chianti Classico,,Castello d'Albola
781,Italy,Northeastern Italy,Trento,,Ferrari
782,US,California,Arroyo Grande Valley,Central Coast,Laetitia
783,US,California,Alexander Valley,Sonoma,Bella
784,Portugal,Douro,,,Quinta do Sagrado
785,Argentina,Other,Salta,,San Pedro de Yacochuya
786,Portugal,Douro,,,Sobredos
787,US,California,Rutherford,Napa,St. Supéry
789,Germany,Mosel,,,Von Schleinitz
790,US,Washington,Columbia Valley (WA),Columbia Valley,Barnard Griffin
791,US,Oregon,Chehalem Mountains,Willamette Valley,Beacon Hill
792,France,Bordeaux,Médoc,,Bernard Magrez
793,US,Washington,Yakima Valley,Columbia Valley,Brian Carter Cellars
794,US,California,Santa Ynez Valley,Central Coast,Buttonwood
795,France,Bordeaux,Saint-Émilion,,Château Corbin
796,France,Bordeaux,Haut-Médoc,,Château Haut-Logat
797,France,Bordeaux,Médoc,,Château La Branne
798,France,Bordeaux,Fronsac,,Château Mayne Vieil
799,France,Bordeaux,Margaux,,Château Mille-Roses
800,US,California,Santa Ynez Valley,Central Coast,Chessman
801,US,California,Sonoma Valley,Sonoma,Deerfield Ranch
802,France,Beaujolais,Juliénas,,Domaine Franck Besson
803,US,Washington,Red Mountain,Columbia Valley,Efeste
805,US,Oregon,Oregon,Oregon Other,Firesteed
806,US,California,Sierra Foothills,Sierra Foothills,Iron Hub
807,Australia,Victoria,Mornington Peninsula,,Kooyong
808,Italy,Central Italy,Verdicchio dei Castelli di Jesi Classico,,Moncaro
809,Spain,Central Spain,Vino de la Tierra de Castilla,,Finca Constancia
810,US,California,Rutherford,Napa,Aiken
811,Germany,Franken,,,Castell
812,US,California,Mendocino Ridge,,Donkey & Goat
814,Italy,Tuscany,Rosso di Montalcino,,Valdicava
815,US,Washington,Wahluke Slope,Columbia Valley,Finn Hill
816,US,New York,Finger Lakes,Finger Lakes,Keuka Spring
817,Chile,Colchagua Valley,,,La Playa
818,France,Beaujolais,Beaujolais-Villages,,Les Vins Aujoux
819,France,Southwest France,Côtes de Gascogne,,Mont Gravet
820,Spain,Northern Spain,Rioja,,Navardia
821,Spain,Catalonia,Cava,,Pata Negra
822,Italy,Tuscany,Rosso di Montalcino,,Ridolfi
823,US,California,Paso Robles,Central Coast,Still Waters
824,US,California,California,California Other,Stomping Ground
825,Italy,Tuscany,Brunello di Montalcino,,Tenuta Poggio il Castellare
826,Italy,Tuscany,Rosso di Montalcino,,Tenuta San Giorgio
827,Chile,Curicó Valley,,,Terrapura
828,France,Southwest France,Côtes du Lot,,Clos Troteligotte
829,US,Washington,Columbia Valley (WA),Columbia Valley,Columbia Winery
830,France,Beaujolais,Beaujolais-Villages,,Domaine de Thulon
831,France,Beaujolais,Moulin-à-Vent,,Domaine du Haut-Poncié
832,France,Beaujolais,Beaujolais,,Domaine du Vissoux
833,Italy,Piedmont,Nebbiolo d'Alba,,Dosio
835,France,Beaujolais,Beaujolais,,Georges Duboeuf
836,Spain,Catalonia,Cava,,Juvé y Camps
840,France,Beaujolais,Beaujolais Rosé,,Laurent Gauthier
841,US,California,California,California Other,Leaping Horse
842,France,Beaujolais,Beaujolais-Villages,,Manoir du Carra
843,US,Washington,Columbia Valley (WA),Columbia Valley,Maryhill
844,Italy,Sicily & Sardinia,Etna,,Cottanera
845,Italy,Sicily & Sardinia,Terre Siciliane,,CVA Canicattì
846,France,Alsace,Alsace,,Domaine Barmès-Buecher
847,France,Alsace,Alsace,,Domaine Bott-Geyl
848,France,Burgundy,Marsannay,,Domaine Collotte
849,France,Burgundy,Gevrey-Chambertin,,Domaine Faiveley
850,France,Burgundy,Beaune,,Domaine Jacques Prieur
851,France,Burgundy,Marsannay,,Domaine René Bouvier
852,France,Alsace,Alsace,,Domaine Roland Schmitt
853,Germany,Mosel,,,Dr. H. Thanisch (Erben Thanisch)
854,US,California,Amador County,Sierra Foothills,Easton
855,US,California,Edna Valley,Central Coast,Edna Valley Vineyard
856,Italy,Southern Italy,Sannio,,Fattoria La Rivolta
857,US,California,Santa Barbara County,Central Coast,Fess Parker
859,US,California,Spring Mountain District,Napa,Foretell
860,US,California,Temecula Valley,South Coast,Gershon Bachus
861,Italy,Sicily & Sardinia,Etna,,Graci
862,Italy,Sicily & Sardinia,Etna,,Tornatore
863,US,California,Sta. Rita Hills,Central Coast,West of Temperance
864,Germany,Ahr,,,Winzergenossenschaft Mayschoss-Altenahr
865,Italy,Sicily & Sardinia,Sicilia,,Baglio del Cristo di Campobello
866,Australia,South Australia,McLaren Vale,,Beresford
867,US,Oregon,Chehalem Mountains,Willamette Valley,Carabella
869,US,California,Ballard Canyon,Central Coast,Casa Dumetz
870,US,California,Mendocino Ridge,,Greenwood Ridge
871,US,California,Napa Valley,Napa,Herencia
872,US,Oregon,Oregon,Oregon Other,J. Scott Cellars
873,Hungary,Tokaji,,,Chateau Dereszla
874,Portugal,Douro,,,Quinta do Vallado
875,Portugal,Douro,,,Roquette e Cazes
876,Spain,Catalonia,Priorat,,Vall Llach
877,Italy,Tuscany,Bolgheri Superiore,,Ceralti
878,France,Bordeaux,Saint-Estèphe,,Château Bel-Air Ortet
879,France,Bordeaux,Margaux,,Château Ferrière
881,Spain,Catalonia,Priorat,,Fuentes
882,US,California,Napa Valley,Napa,Fuse
883,Italy,Tuscany,Bolgheri Superiore,,I Luoghi
884,US,California,Russian River Valley,Sonoma,J Vineyards & Winery
885,US,California,Dry Creek Valley,Sonoma,Kokomo
886,France,Languedoc-Roussillon,Minervois,,Loup Blanc
887,Portugal,Douro,,,Maritávora
888,US,Washington,Yakima Valley,Columbia Valley,Owen Roe
889,US,California,Sta. Rita Hills,Central Coast,Pacific Ridge
890,US,California,Napa Valley,Napa,Phoenix Ranch
891,US,California,Santa Maria Valley,Central Coast,2nd Chance
892,US,Washington,Columbia Valley (WA),Columbia Valley,Bergevin Lane
893,Australia,Australia Other,South Eastern Australia,,Hungerford Hill
894,Italy,Tuscany,Morellino di Scansano,,Jacopo Biondi-Santi
895,Italy,Tuscany,Toscana,,Le Buche
896,US,California,Temecula Valley,South Coast,Leonesse Cellars
897,US,Washington,Columbia Valley (WA),Columbia Valley,Market Vineyards
898,Italy,Tuscany,Toscana,,Marsiliana
899,Italy,Tuscany,Chianti Classico,,Mazzei
900,Spain,Catalonia,Priorat,,Morlanda
902,US,Texas,Texas High Plains,,Becker
903,Germany,Nahe,,,Bex
905,US,Texas,Texas,,Brennan
907,Portugal,Vinho Verde,,,Casa de Vilacetinho
908,Italy,Piedmont,Barbaresco,,Cascina Bruciata
910,Argentina,Mendoza Province,Vista Flores,,Antucura
911,France,France Other,Vin de France,,Frédéric Brouca
912,US,Oregon,Willamette Valley,Willamette Valley,Fullerton
913,,,,,Gotsa Family Wines
914,Argentina,Other,San Juan,,Graffigna
915,US,Oregon,Willamette Valley,Willamette Valley,Coelho
917,Italy,Piedmont,Barolo,,Deltetto
918,Italy,Piedmont,Barolo,,Diego Conterno
920,Australia,Australia Other,Australia,,Evans & Tate
921,Portugal,Tejo,,,Falua
923,Portugal,Tejo,,,Fiuza
924,Australia,South Australia,Adelaide Hills,,Sidewood
926,Argentina,Mendoza Province,Tupungato,,Antonio Mas
927,Portugal,Vinho Verde,,,Aveleda
928,Italy,Piedmont,Barbaresco,,Battaglio
929,US,California,Amador County,Sierra Foothills,Bella Grace
930,Argentina,Mendoza Province,Mendoza,,Bodega Calle
931,Italy,Piedmont,Barolo,,Borgogno F.lli Serio e Battista
932,France,Bordeaux,Blaye Côtes de Bordeaux,,Château les Petits Arnauds
933,France,Bordeaux,Bordeaux Supérieur,,Château Mougneaux
934,France,Bordeaux,Bordeaux,,Château Saintongey
935,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Ségonzac
938,Spain,Northern Spain,Rioja,,Covila
939,US,California,Livermore Valley,Central Coast,Cuda Ridge Wines
940,France,Champagne,Champagne,,Duménil
941,Spain,Levante,Jumilla,,Ego Bodegas
942,US,California,Russian River Valley,Sonoma,Ektimo Vineyards
943,Spain,Northern Spain,Rioja,,Finca del Marquesado
944,US,Oregon,Rogue Valley,Southern Oregon,Folin Cellars
945,US,California,Sonoma County,Sonoma,Francis Coppola
946,US,California,Rutherford,Napa,Frank Family
947,Portugal,Douro,,,Real Companhia Velha
948,Portugal,Alentejano,,,Santos & Seixo
949,Italy,Piedmont,Coste della Sesia,,Travaglini
951,US,California,Yorkville Highlands,North Coast,Yorkville Cellars
952,Spain,Catalonia,Penedès,,Agustí Torelló Mata
953,US,Oregon,Willamette Valley,Willamette Valley,Amalie Robert
954,US,California,Lodi,Central Valley,Archgate Cellars
955,Italy,Piedmont,Barolo,,Bersano
956,Italy,Southern Italy,Greco di Tufo,,Cantine di Marzo
957,US,California,Russian River Valley,Sonoma,Carica
958,Spain,Northern Spain,Cariñena,,Ignacio Marín
960,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Cap Saint-Martin
961,France,Bordeaux,Bordeaux Supérieur,,Château de Bel
962,France,Champagne,Champagne,,Vranken
963,France,Bordeaux,Graves,,Château Pavillon de Boyrein
964,Italy,Lombardy,Lugana,,Fabiano
965,Italy,Southern Italy,Primitivo di Manduria,,Vinosia
966,New Zealand,Marlborough,,,Kono
967,Chile,Casablanca Valley,,,Santa Ema
969,Chile,Maipo Valley,,,Morandé
970,US,California,California,California Other,One Hope
971,France,Champagne,Champagne,,Pommery
972,US,California,Clarksburg,Central Valley,Saddleback
973,US,California,Alexander Valley,Sonoma,Alexander Valley Vineyards
974,US,Washington,Walla Walla Valley (WA),Columbia Valley,Covington
976,US,California,California,California Other,Kendall-Jackson
977,US,California,Suisun Valley,North Coast,Ledgewood Creek
978,US,California,North Coast,North Coast,X
979,France,Bordeaux,Bordeaux Blanc,,Château Lamothe-Vincent
981,France,Bordeaux,Bordeaux Blanc,,Yvon Mau
982,Italy,Veneto,Piave,,Bellenda
983,US,California,Anderson Valley,,Breggo
984,Romania,Dealu Mare,,,Byzantium
985,Argentina,Mendoza Province,Mendoza,,Pascual Toso
986,Portugal,Port,,,Quinta de la Rosa
987,Australia,South Australia,Barossa Valley,,Sieber Rd
988,US,Oregon,Oregon,Oregon Other,Lachini
989,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Mauro
990,US,California,California,California Other,Dancing Bull
991,France,Southwest France,Vin de Pays des Côtes de Gascogne,,Domaine de Mirail
992,France,Southwest France,Gaillac,,Domaine des Terrisses
994,France,Loire Valley,Sancerre,,Fournier Père et Fils
995,Italy,Sicily & Sardinia,Sicilia,,Benanti
996,Italy,Sicily & Sardinia,Sicilia,,Caruso & Minini
